iter	RMSE
553	132157.1647
554	132044.7553
555	131875.6004
556	131719.4099
557	131708.9557
558	131401.9823
559	131221.4815
560	131016.266
561	130686.9775
562	130436.2304
563	130026.6097
564	129879.5848
565	129781.268
566	129717.9566
567	129443.1104
568	129299.8577
569	129121.1081
570	128909.6362
571	128884.5595
572	128882.8419
573	128749.4468
574	128659.012
575	128593.8829
576	128363.8618
577	128209.1878
578	128167.1787
579	127988.8678
580	127804.3777
581	127549.0874
582	127528.6597
583	127323.3395
584	127157.2621
585	126864.4705
586	126856.1406
587	126660.6618
588	126374.5236
589	126241.5306
590	126135.0804
591	126038.1452
592	125870.1135
593	125819.9271
594	125798.9347
595	125616.784
596	125505.4673
597	125139.5365
598	125028.6513
599	124670.0583
600	124643.1841
601	124492.4599
602	124142.1628
603	124138.2911
604	124115.888
605	124030.7367
606	123857.3978
607	123812.9811
608	123680.7359
609	123609.3422
610	123475.9307
611	123316.4125
612	123215.6825
613	122954.9891
614	122792.0407
615	122772.5216
616	122688.4826
617	122546.7289
618	122374.8498
619	122336.7391
620	122250.9998
621	121953.7144
622	121946.2639
623	121658.4377
624	121574.9399
625	121523.6783
626	121367.3619
627	121127.0452
628	121122.8091
629	120938.5235
630	120677.6893
631	120489.7101
632	120037.3182
633	119891.807
634	119751.558
635	119605.7482
636	119472.4426
637	119296.2057
638	119222.7369
639	119090.3251
640	118718.2009
641	118320.837
642	118315.8379
643	118175.1168
644	118164.1445
645	118111.7952
646	117865.6952
647	117836.2617
648	117559.5812
649	117480.6282
650	117345.9134
651	117283.7517
652	117029.6595
653	116689.5216
654	116361.1815
655	115920.765
656	115797.0154
657	115522.4332
658	115463.4894
659	115286.8796
660	115126.3905
661	114897.0897
662	114804.2884
663	114738.4403
664	114720.1419
665	114510.3269
666	114324.4531
667	114321.5068
668	114007.4406
669	113887.8271
670	113787.0973
671	113625.5758
672	113521.181
673	113445.831
674	113437.2271
675	113284.6732
676	113197.4838
677	113054.3844
678	112948.8352
679	112858.3461
680	112789.2169
681	112529.8279
682	112483.6843
683	112351.1807
684	112049.653
685	112048.6626
686	112025.8451
687	111937.7077
688	111894.935
689	111834.8458
690	111827.293
691	111707.8715
692	111438.8568
693	111251.4451
694	110956.3936
695	110926.9415
696	110828.8319
697	110823.3729
698	110575.785
699	110502.1821
